Date,Open,High,Low,Close,Volume,Adj Close
2010-12-17,557.0,557.0,551.0,552.0,11387900,405.607
2010-12-20,560.0,563.5,555.0,563.0,9411700,413.69
2010-12-21,568.5,571.5,558.0,564.0,7610100,414.425
2010-12-22,590.0,590.0,565.0,573.5,9600700,421.405
2010-12-23,577.0,577.5,569.5,569.5,3361400,418.466
2010-12-24,570.0,570.0,565.5,566.5,617500,416.262
2010-12-27,566.5,566.5,566.5,566.5,0,416.262
2010-12-29,568.5,573.5,565.5,567.5,2392200,416.997
2010-12-30,568.0,570.5,562.5,564.5,2150100,414.792
2010-12-31,565.0,567.5,552.0,553.0,2558200,406.342
2011-01-04,570.0,570.0,559.5,568.0,9376200,417.364
2011-01-05,568.0,579.0,562.5,579.0,10430500,425.447
2011-01-06,580.5,583.5,576.0,579.5,8164300,425.814
2011-01-07,581.0,581.0,574.0,576.5,8647100,423.61
2011-01-10,570.0,571.5,564.0,565.0,5818700,415.16
2011-01-11,565.0,565.0,551.5,551.5,10204300,405.24
2011-01-12,550.5,554.0,537.5,539.0,16339600,396.055
2011-01-13,540.0,540.0,521.5,530.0,23054500,389.442
2011-01-14,533.0,536.5,527.5,531.0,11836800,390.176
2011-01-17,531.5,536.5,530.0,532.0,7101000,390.911
2011-01-18,532.0,540.5,532.0,540.5,7034000,397.157
2011-01-19,541.0,542.0,527.0,531.0,11473700,390.176
2011-01-20,544.0,544.0,534.5,539.0,11672400,396.055
2011-01-21,542.0,542.0,542.0,542.0,14490000,398.259
2011-01-24,544.5,552.0,541.5,551.5,11003500,405.24
2011-01-25,554.0,555.5,543.5,547.0,11529900,401.933
2011-01-26,548.0,553.0,545.0,546.5,7774800,401.566
2011-01-27,547.0,549.0,542.0,546.0,7798400,401.198
2011-01-28,547.5,555.5,544.0,546.0,12713300,401.198
2011-01-31,546.5,564.0,541.5,552.5,20370100,405.975
2011-02-01,556.0,562.0,556.0,560.0,11264400,411.486
2011-02-02,560.5,561.0,545.5,548.5,13118600,403.035
2011-02-03,548.0,549.5,533.0,546.0,13621600,401.198
2011-02-04,550.0,552.0,547.0,549.5,14354100,403.77
2011-02-07,552.5,556.5,547.0,552.0,5856800,405.607
2011-02-08,552.0,553.5,547.0,553.0,5071600,406.342
2011-02-09,555.0,562.5,553.0,561.0,15470500,412.22
2011-02-10,564.0,565.5,560.0,565.0,10396400,415.16
2011-02-11,568.0,573.0,565.0,572.5,11848600,420.67
2011-02-14,575.0,575.0,561.0,572.5,451800,420.67
2011-02-15,571.5,573.5,563.0,564.5,5952100,414.792
2011-02-16,567.5,569.0,564.38,568.5,5293500,417.731
2011-02-17,569.5,572.0,564.5,572.0,7124300,420.303
2011-02-18,570.5,575.5,568.087,574.5,5822600,422.14
2011-02-21,573.5,575.995,565.5,566.5,5238600,416.262
2011-02-22,565.5,566.5,559.11,563.0,4540800,413.69
2011-02-23,567.0,568.0,559.5,562.0,19126600,412.955
2011-02-24,558.0,566.0,554.5,566.0,8827900,415.894
2011-02-25,569.0,571.198,565.0,570.5,4172700,419.201
2011-02-28,567.5,573.75,564.5,571.0,5641000,419.568
2011-03-01,574.0,574.5,562.0,565.0,6352500,415.16
2011-03-02,564.5,569.0,564.0,567.5,7512600,416.997
2011-03-03,570.0,574.5,567.0,571.5,4610500,419.936
2011-03-04,570.5,575.5,569.0,572.0,4709800,420.303
2011-03-07,572.0,576.5,570.0,573.5,5631400,421.405
2011-03-08,573.0,575.0,569.0,573.0,3964900,421.038
2011-03-09,574.5,580.055,572.0,578.5,6469700,425.079
2011-03-10,577.5,583.5,576.0,580.0,7614000,426.181
2011-03-11,576.5,580.24,569.0,569.0,7213900,418.099
2011-03-14,567.5,570.0,552.5,555.5,11814800,408.179
2011-03-15,549.0,557.0,541.5,543.5,24430700,399.361
2011-03-16,549.0,551.5,543.5,544.0,16612400,399.729
2011-03-17,548.5,553.0,543.845,552.5,5912200,405.975
2011-03-18,565.0,577.5,560.0,577.0,22455200,423.977
2011-03-21,581.0,581.0,561.963,578.0,12378200,424.712
2011-03-22,573.0,586.5,573.0,585.5,9097600,430.223
