Date,Open,High,Low,Close,Adj Close,Volume
2002-01-30,549.000000,549.000000,530.000000,538.000000,278.520874,53743208
2002-01-31,534.799988,550.099976,532.000000,547.500000,283.439026,48855404
2002-02-01,538.500000,560.000000,538.500000,554.000000,286.804016,63257092
2002-02-04,555.200012,558.000000,546.000000,553.500000,286.545197,27133212
2002-02-05,547.500000,554.000000,536.000000,538.000000,278.520874,58905580
2002-02-06,547.000000,551.000000,537.500000,549.500000,284.474335,42690604
2002-02-07,544.799988,552.400024,534.500000,545.000000,282.144623,61572324
2002-02-08,545.000000,545.250000,538.000000,543.000000,281.109314,24570788
2002-02-11,543.200012,545.000000,536.400024,541.500000,280.332855,35156860
2002-02-12,541.000000,552.099976,538.799988,545.500000,282.403625,49966400
2002-02-13,545.000000,553.000000,537.500000,552.500000,286.027435,69333944
2002-02-14,571.500000,571.599976,567.500000,569.500000,294.828308,11764003
2002-02-15,569.500000,574.000000,558.000000,571.500000,295.863770,43130268
2002-02-18,571.099976,578.000000,565.500000,573.000000,296.640167,29770682
2002-02-19,575.700012,575.700012,566.500000,569.500000,294.828308,41863260
2002-02-20,570.599976,570.599976,552.000000,553.000000,288.341919,61182604
2002-02-21,563.000000,563.500000,551.000000,561.000000,292.513275,34803040
2002-02-22,553.500000,566.000000,553.500000,562.500000,293.295319,41480668
2002-02-25,558.299988,576.200012,557.000000,574.000000,299.291473,34229872
2002-02-26,572.599976,585.500000,564.500000,584.500000,304.766449,55332052
2002-02-27,579.200012,596.000000,575.000000,592.500000,308.937683,51208740
2002-02-28,590.400024,594.200012,582.000000,583.000000,303.984253,50279392
2002-03-01,582.500000,590.500000,577.000000,589.000000,307.112885,30921504
2002-03-04,582.000000,601.000000,579.796997,596.500000,311.023438,43692724
2002-03-05,598.400024,604.000000,594.400024,599.500000,312.587616,58150408
2002-03-06,597.099976,601.500000,593.000000,599.000000,312.326965,39270192
2002-03-07,595.500000,615.000000,595.500000,611.500000,318.844574,43923788
2002-03-08,609.500000,616.000000,599.500000,603.000000,314.412598,48522304
2002-03-11,609.400024,615.000000,601.099976,608.500000,317.280426,30964092
2002-03-12,610.200012,612.000000,596.500000,611.500000,318.844574,35754572
2002-03-13,611.200012,619.000000,600.400024,617.000000,321.712311,29287532
2002-03-14,611.200012,618.500000,604.000000,606.500000,316.237518,40851316
2002-03-15,607.200012,613.500000,604.000000,609.500000,317.801697,33411872
2002-03-18,607.900024,618.000000,603.500000,604.500000,315.194641,42474664
2002-03-19,604.700012,615.000000,604.288025,614.500000,320.408844,34633300
2002-03-20,613.000000,619.500000,608.900024,616.000000,321.190918,41994784
2002-03-21,612.299988,616.715027,607.500000,614.000000,320.148102,61937712
2002-03-22,616.000000,616.000000,609.299988,613.000000,319.626678,45129256
2002-03-25,615.000000,618.000000,604.500000,606.500000,316.237518,59594376
2002-03-26,606.500000,611.799988,601.000000,609.000000,317.541046,76383216
2002-03-27,609.000000,618.000000,606.500000,613.000000,319.626678,51786896
2002-03-28,615.700012,626.700012,615.000000,625.000000,325.883636,38144472
2002-03-29,625.000000,625.000000,625.000000,625.000000,325.883636,0
2002-04-01,625.000000,625.000000,625.000000,625.000000,325.883636,0
2002-04-02,626.299988,630.000000,619.200012,624.000000,325.362366,51375600
2002-04-03,629.000000,629.000000,620.500000,625.000000,325.883636,56192300
2002-04-04,625.000000,625.700012,605.000000,610.000000,318.062531,78410000
2002-04-05,609.500000,618.799988,602.500000,608.500000,317.280426,82791424
2002-04-08,607.099976,613.000000,600.500000,608.500000,317.280426,45615708
2002-04-09,605.400024,609.700012,596.500000,599.500000,312.587616,40683024
